Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Midfielder,28,Riquelme Felipe,BRA,175.0,13/03/2007,Fluminense,5.6,https://www.sofascore.com/football/player/riquelme-felipe-silva/1884803
Midfielder,30,Santiago Moreno,COL,171.0,21/04/2000,Fluminense,3.1,https://www.sofascore.com/football/player/santiago-moreno/100203
Midfielder,80,David Terans,URU,176.0,11/08/1994,Fluminense,0.92,https://www.sofascore.com/football/player/david-terans/586662
Midfielder,55,Wallace Davi,BRA,185.0,10/05/2007,Fluminense,0.0,https://www.sofascore.com/football/player/wallace-davi-nunes/1884816
Defender,13,Guilherme Arana,BRA,176.0,14/04/1997,Fluminense,7.4,https://www.sofascore.com/football/player/guilherme-arana/1127439
Defender,4,Ignácio,BRA,192.0,01/12/1996,Fluminense,2.1,https://www.sofascore.com/football/player/ignacio/958382
Defender,2,Samuel Xavier,BRA,166.0,06/06/1990,Fluminense,0.23,https://www.sofascore.com/football/player/xavier-samuel/795773
Defender,12,Gabriel Fuentes,COL,180.0,09/02/1997,Fluminense,1.8,https://www.sofascore.com/football/player/gabriel-fuentes/927551
Defender,6,Renê,BRA,174.0,14/09/1992,Fluminense,0.515,https://www.sofascore.com/football/player/rene/243113
Defender,22,Juan Freytes,ARG,182.0,11/01/2000,Fluminense,5.2,https://www.sofascore.com/football/player/juan-freytes/962187
Defender,23,Guga,BRA,173.0,29/08/1998,Fluminense,1.9,https://www.sofascore.com/football/player/guga/928134
Defender,21,Igor Rabello,BRA,190.0,28/04/1995,Fluminense,1.5,https://www.sofascore.com/football/player/igor-rabello/753662
Defender,3,Jemmes,BRA,187.0,09/04/2000,Fluminense,1.5,https://www.sofascore.com/football/player/ribeiro-da-silva-jemmes-bruno/1527129
Defender,36,Felipe Andrade,BRA,182.0,29/05/2002,Fluminense,1.4,https://www.sofascore.com/football/player/felipe-andrade/1586575
Defender,66,Leonardo de Oliveira Jance,BRA,175.0,23/03/2005,Fluminense,0.0,https://www.sofascore.com/football/player/leonardo-de-oliveira-jance/1631686
Defender,40,Davi Duarte,BRA,183.0,26/04/2004,Fluminense,0.26,https://www.sofascore.com/football/player/davi-duarte-schuindt/1631679
Defender,56,Miguel Sampaio,BRA,,19/01/2005,Fluminense,0.0,https://www.sofascore.com/football/player/miguel-sampaio/2441798
Goalkeeper,1,Fábio,BRA,188.0,30/09/1980,Fluminense,0.079,https://www.sofascore.com/football/player/fabio/17785
Goalkeeper,27,Marcelo Pitaluga,BRA,192.0,20/12/2002,Fluminense,0.21,https://www.sofascore.com/football/player/marcelo-pitaluga/1093974
Goalkeeper,98,Vitor Eudes,BRA,195.0,21/10/1998,Fluminense,0.37,https://www.sofascore.com/football/player/vitor-eudes/927666
Goalkeeper,-,Lucas,BRA,,25/05/2008,Fluminense,0.0,https://www.sofascore.com/football/player/lucas/2441797
Goalkeeper,-,Lucas Emanuel,BRA,,25/05/2008,Fluminense,0.0,https://www.sofascore.com/football/player/lucas-emanuel/2441800
Forward,19,Kaio Jorge,BRA,182.0,24/01/2002,Cruzeiro,21.0,https://www.sofascore.com/football/player/kaio-jorge/954888
Forward,17,Luis Sinisterra,COL,176.0,17/06/1999,Cruzeiro,11.6,https://www.sofascore.com/football/player/luis-sinisterra/836070
Forward,-,Néiser Villarreal,COL,186.0,24/04/2005,Cruzeiro,0.44,https://www.sofascore.com/football/player/neyser-villareal/1539599
Forward,91,Chico da Costa,BRA,184.0,04/05/1995,Cruzeiro,1.2,https://www.sofascore.com/football/player/francisco-da-costa/866847
Forward,-,Tevis Alves Santos,BRA,180.0,28/01/2006,Cruzeiro,0.44,https://www.sofascore.com/football/player/tevis-alves-santos/1633609
Midfielder,9,Gerson,BRA,185.0,20/05/1997,Cruzeiro,18.5,https://www.sofascore.com/football/player/gerson/611876
Midfielder,10,Matheus Pereira,BRA,175.0,05/05/1996,Cruzeiro,13.5,https://www.sofascore.com/football/player/matheus-pereira/377238
Midfielder,11,Keny Arroyo,ECU,176.0,14/02/2006,Cruzeiro,8.7,https://www.sofascore.com/football/player/arroyo-keny/1482431
Midfielder,7,Marquinhos,BRA,175.0,07/04/2003,Cruzeiro,3.9,https://www.sofascore.com/football/player/marquinhos/1116954
Midfielder,8,Matheus Henrique,BRA,175.0,19/12/1997,Cruzeiro,4.1,https://www.sofascore.com/football/player/matheus-henrique/912786
